"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 00:00","2020","04","01","00:00","2.7","","0.4","","84","","0.0","","3","","19","","","","97.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 01:00","2020","04","01","01:00","2.5","","0.5","","86","","0.0","","3","","14","","","","97.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 02:00","2020","04","01","02:00","2.3","","0.2","","86","","0.0","","2","","13","","","","97.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 03:00","2020","04","01","03:00","2.2","","0.0","","85","","0.0","","2","","15","","","","97.71","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 04:00","2020","04","01","04:00","2.0","","-0.1","","86","","0.0","","1","","13","","","","97.66","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 05:00","2020","04","01","05:00","1.4","","-0.9","","85","","0.0","","1","","14","","","","97.62","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 06:00","2020","04","01","06:00","0.3","","-2.0","","84","","0.0","","1","","12","","","","97.58","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 07:00","2020","04","01","07:00","-0.3","","-3.2","","81","","0.0","","1","","12","","","","97.54","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 08:00","2020","04","01","08:00","-1.0","","-4.2","","78","","0.0","","36","","13","","","","97.49","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 09:00","2020","04","01","09:00","-1.7","","-5.1","","77","","0.0","","1","","12","","","","97.50","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 10:00","2020","04","01","10:00","-1.7","","-5.6","","74","","0.0","","36","","12","","","","97.49","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 11:00","2020","04","01","11:00","-2.3","","-6.0","","76","","0.0","","36","","12","","","","97.52","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 12:00","2020","04","01","12:00","-2.2","","-6.3","","73","","0.0","","36","","12","","","","97.53","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 13:00","2020","04","01","13:00","0.4","","-6.1","","62","","0.0","","1","","15","","","","97.51","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 14:00","2020","04","01","14:00","2.7","","-6.3","","51","","0.0","","2","","14","","","","97.50","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 15:00","2020","04","01","15:00","4.1","","-4.9","","52","","0.0","","5","","10","","","","97.48","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 16:00","2020","04","01","16:00","7.1","","-9.2","","30","","0.0","","1","","10","","","","97.42","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 17:00","2020","04","01","17:00","6.8","","-8.8","","32","","0.0","","2","","16","","","","97.37","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 18:00","2020","04","01","18:00","7.3","","-8.6","","31","","0.0","","3","","12","","","","97.32","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 19:00","2020","04","01","19:00","7.7","","-8.9","","30","","0.0","","2","","18","","","","97.28","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 20:00","2020","04","01","20:00","7.4","","-7.9","","33","","0.0","","3","","16","","","","97.27","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 21:00","2020","04","01","21:00","7.5","","-7.1","","35","","0.0","","4","","14","","","","97.29","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 22:00","2020","04","01","22:00","7.6","","-6.4","","36","","0.0","","1","","12","","","","97.29","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-01 23:00","2020","04","01","23:00","7.1","","-6.5","","37","","0.0","","36","","5","","","","97.30","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 00:00","2020","04","02","00:00","5.6","","-5.8","","44","","0.0","","2","","6","","","","97.33","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 01:00","2020","04","02","01:00","4.5","","-5.9","","47","","0.0","","36","","8","","","","97.38","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 02:00","2020","04","02","02:00","3.9","","-5.8","","49","","0.0","","2","","9","","","","97.42","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 03:00","2020","04","02","03:00","3.4","","-5.9","","50","","0.0","","1","","6","","","","97.41","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 04:00","2020","04","02","04:00","0.8","","-6.7","","57","","0.0","","1","","6","","","","97.41","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 05:00","2020","04","02","05:00","0.7","","-7.0","","56","","0.0","","30","","7","","","","97.42","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 06:00","2020","04","02","06:00","-0.5","","-6.5","","64","","0.0","","31","","6","","","","97.42","","","","-3","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 07:00","2020","04","02","07:00","-0.6","","-6.5","","65","","0.0","","29","","8","","","","97.44","","","","-3","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 08:00","2020","04","02","08:00","-1.0","","-6.1","","68","","0.0","","29","","8","","","","97.43","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 09:00","2020","04","02","09:00","-1.8","","-6.2","","72","","0.0","","30","","9","","","","97.46","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 10:00","2020","04","02","10:00","-0.8","","-6.1","","68","","0.0","","32","","10","","","","97.49","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-04-02 11:00","2020","04","02","11:00","-1.9","","-6.6","","70","","0.0","","33","","3","","","","97.52","","","","-3","","NA"
